Reporter_family,REPORTER_DEA_NO,REPORTER_BUS_ACT,REPORTER_NAME,REPORTER_ADDL_CO_INFO,REPORTER_ADDRESS1,REPORTER_ADDRESS2,REPORTER_CITY,REPORTER_STATE,REPORTER_ZIP,REPORTER_COUNTY
American Veterinary Supply Corp.,RA0167874,DISTRIBUTOR,AMERICAN VETERINARY SUPPLY CORP.,,155 KNICKERBOCKER AVENUE,,BOHEMIA,NY,11716,SUFFOLK
Albertsons LLC,RA0172394,DISTRIBUTOR,ALBERTSONS LLC. #8720,,2500 INDUSTRIAL BLVD,,PONCA CITY,OK,74601,KAY
"Anda, Inc",RA0180733,DISTRIBUTOR,"ANDA, INC",,2915 WESTON ROAD,,WESTON,FL,33331,BROWARD
Alphagen Laboratories,RA0182193,DISTRIBUTOR,ALPHAGEN LABORATORIES,,250 HEMBREE PARK DRIVE,SUITE 112,ROSWELL,GA,30076,FULTON
Atley Pharmaceuticals,RA0183171,DISTRIBUTOR,ATLEY PHARMACEUTICALS,,10511 OLD RIDGE ROAD,,ASHLAND,VA,23005,HANOVER
Auburn Pharmaceutical,RA0186014,DISTRIBUTOR,AUBURN PHARMACEUTICAL,,2360 BELLINGHAM,,TROY,MI,48083,OAKLAND
Centro Medico de Puerto Rico,RA0187129,DISTRIBUTOR,CENTRO MEDICO DE PUERTO RICO,SUM & DESP DE DROGAS (ASEM)  ALMACEN DE FARMACIA,"BARRIO MONACILLOS, CARR. #22, RIO PIEDRAS P.R.  00935","C/O P.O. BOX 2129,",SAN JUAN,PR,922,SAN JUAN
,RA0188006,REVERSE DISTRIB,NATIONAL PRODUCTS SALES,PHARMACEUTICAL DIVISION,1600 EMPIRE ROAD,,SALT LAKE CITY,UT,84104,SALT LAKE
Ashco Pharmaceuticals,RA0201056,DISTRIBUTOR,ASHCO PHARMACEUTICALS,,6970 NORTH FRONTAGE ROAD,,HINSDALE,IL,60521,DUPAGE
Alza Corporation,RA0203098,MANUFACTURER,ALZA CORPORATION,,ATTN: DEA COMPLIANCE,1015 JOAQUIN ROAD,MOUNTAIN VIEW,CA,94043,SANTA CLARA
Admin Servs Salud Mental Y,RA0205597,DISTRIBUTOR,ADMIN SERVS SALUD MENTAL Y,CONTRA LA ADICCION PROG,TRATAMIENTO ADICCION A DROGAS,"AVE.BARBOSA #426, PO BOX 21414",SAN JUAN,PR,928,SAN JUAN
DVM Resources,RA0206664,DISTRIBUTOR,DVM-RESOURCES,,4605 HICKORY HILL,SUITE 104,MEMPHIS,TN,38141,SHELBY
AmerisourceBergen Drug,RA0210409,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,2100 DIRECTORS ROW,,ORLANDO,FL,32809,ORANGE
Alliance Wholesale Distrib,RA0216641,DISTRIBUTOR,ALLIANCE WHOLESALE DISTRIB,,22325 GOVERNORS HIGHWAYREAR,,RICHTON PARK,IL,60471,COOK
ASD Specialty Healthcare LLC,RA0219798,DISTRIBUTOR,ASD SPECIALTY HEALTHCARE LLC,,345 INTERNATIONAL BLVD.,SUITE #400A,BROOKS,KY,40109,BULLITT
American Medical Distrib,RA0221313,DISTRIBUTOR,AMERICAN MEDICAL DISTRIB,,100 NEW HIGHWAY,,NORTH AMITYVILLE,NY,11701,SUFFOLK
"Amerisource Health Services, LLC",RA0221325,MANUFACTURER,"AMERISOURCE HEALTH SERVICES, LLC",DBA AMERICAN HEALTH PACKAGING,2550 JOHN GLENN AVENUE,SUITE A,COLUMBUS,OH,43217,FRANKLIN
AmerisourceBergen Drug,RA0223432,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,172 CAHABA VALLEY PKWY,,PELHAM,AL,35124,SHELBY
"Cephalon, Inc.",RA0224129,MANUFACTURER,"ANESTA LLC, A DIVISION OF CEPHALON, INC.",,4745 WILEY POST WAY,,SALT LAKE CITY,UT,84116,SALT LAKE
Apotheca Inc,RA0229903,MANUFACTURER,APOTHECA,,1622 N 16TH STREET,,PHOENIX,AZ,85006,MARICOPA
,RA0235449,MANUFACTURER,ARISTA BIOLOGICALS,,1101 WEST HAMILTON STREET,,ALLENTOWN,PA,18101,LEHIGH
"AndersonBrecon,  Inc",RA0252596,MANUFACTURER,"ANDERSONBRECON,  INC",DBA PCI OF ILLINOIS,4545 ASSEMBLY DRIVE,,ROCKFORD,IL,61109,WINNEBAGO
Advantage Logistics,RA0253877,DISTRIBUTOR,ADVANTAGE LOGISTICS,,533 NORTH MALLICK ROAD,,OGLESBY,IL,61348,LA SALLE
Allpharm Inc,RA0259196,DISTRIBUTOR,ALLPHARM INC,,2613 WEST OXFORD LOOP,SUITE 1,OXFORD,MS,38655,LAFAYETTE
Associated Pharmacies Inc,RA0264325,DISTRIBUTOR,ASSOCIATED PHARMACIES INC,CLINTON KING,211 LONNIE E CRAWFORD BLVD,,SCOTTSBORO,AL,35769,JACKSON
Associated Pharmacies Inc,RA0264325,DISTRIBUTOR,ASSOCIATED PHARMACIES INC,ASSOCIATED PHARMACIES INC,211 LONNIE E CRAWFORD BLVD,,SCOTTSBORO,AL,35769,JACKSON
"ARx, LLC",RA0276142,MANUFACTURER,"ARX, LLC",,400 SEAKS RUN RD,,GLEN ROCK,PA,17327,YORK
AAIPharma,RA0278881,MANUFACTURER,AAIPHARMA,ATTN: DEA COMPLIANCE OFFICE,MC- CHARLESTON,4221 FABER PLACE DRIVE,CHARLESTON,SC,29405,CHARLESTON
Alza Corporation,RA0279148,MANUFACTURER,ALZA CORPORATION,,ATTN: REGULATORY COMPLIANCE,1050 HAMILTON COURT,MENLO PARK,CA,94025,SAN MATEO
"Actavis Pharma, Inc.",RA0279946,MANUFACTURER,"ACTAVIS LABORATORIES FL, INC.",,4955 ORANGE DRIVE,,DAVIE,FL,33314,BROWARD
"Cephalon, Inc.",RA0280103,DISTRIBUTOR,"ANESTA LLC, A DIVISION OF CEPHALON, INC",,4745 WILEY POST WAY,,SALT LAKE CITY,UT,84116,SALT LAKE
,RA0280658,MANUF (BULK),ABBOTT LABORATORIES,,DBA KNOLL PHARMACEUTICAL CO,30 NORTH JEFFERSON ROAD,WHIPPANY,NJ,7981,MORRIS
"Cephalon, Inc.",RA0284288,DISTRIBUTOR,ANESTA CORP,,"A DIVISION OF CEPHALON, INC.",1795 SOUTH 5350 WEST,SALT LAKE CITY,UT,84120,SALT LAKE
"Anda, Inc",RA0287020,DISTRIBUTOR,ANDA PHARMACEUTICALS INC,,6500 ADELAIDE COURT,,GROVEPORT,OH,43125,FRANKLIN
AmerisourceBergen Drug,RA0289000,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,9900 J.E.B. STUART PARKWAY,,GLEN ALLEN,VA,23059,HENRICO
AmerisourceBergen Drug,RA0289036,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,8605 EBENEZER CHURCH RD,,RALEIGH,NC,27617,WAKE
AmerisourceBergen Drug,RA0289048,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,238 SAND ISLAND ACCESS RD #M1,,HONOLULU,HI,96819,HONOLULU
AmerisourceBergen Drug,RA0289050,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,1851 CALIFORNIA AVE,,CORONA,CA,92881,RIVERSIDE
AmerisourceBergen Drug,RA0289062,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,24903 AVENUE KEARNY,,VALENCIA,CA,91355,LOS ANGELES
AmerisourceBergen Drug,RA0289074,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,12980 OLD HICKORY BLVD,,ANTIOCH,TN,37013,DAVIDSON
AmerisourceBergen Drug,RA0289086,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,6300 ST LOUIS ST,,MERIDIAN,MS,39301,LAUDERDALE
AmerisourceBergen Drug,RA0289098,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,1765 FREMONT DRIVE,,SALT LAKE CITY,UT,84104,SALT LAKE
AMBI Pharmaceuticals Inc,RA0289113,DISTRIBUTOR,AMBI PHARMACEUTICALS INC,,16255A AVIATION LOOP,,BROOKSVILLE,FL,34604,HERNANDO
AmerisourceBergen Drug,RA0289276,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,12727 WEST AIRPORT BLVD,,SUGAR LAND,TX,77478,FORT BEND
AmerisourceBergen Drug,RA0289288,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,9401 EAST 54TH STREET,,TULSA,OK,74145,TULSA
AmerisourceBergen Drug,RA0289492,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,2702 DIRECTORS ROW,,ORLANDO,FL,32809,ORANGE
AmerisourceBergen Drug,RA0290522,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,8190 LACKLAND RD,,ST LOUIS,MO,63114,SAINT LOUIS
AmerisourceBergen Drug,RA0290724,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,101 NORFOLK ST,,MANSFIELD,MA,2048,BRISTOL
AmerisourceBergen Drug,RA0290736,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,1 INDUSTRIAL PARK DR.,,WILLIAMSTON,MI,48895,INGHAM
AmerisourceBergen Drug,RA0290837,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,"1825 S. 43RD AVE, STE B",,PHOENIX,AZ,85009,MARICOPA
Athlon Pharmaceuticals Inc,RA0290863,DISTRIBUTOR,ATHLON PHARMACEUTICALS INC,,301 SNOW DRIVE,,BIRMINGHAM,AL,35209,JEFFERSON
AmerisourceBergen Drug,RA0290938,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,19220 64TH AVENUE SOUTH,,KENT,WA,98032,KING
AmerisourceBergen Drug,RA0290988,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,501 WEST 44TH AVE,,DENVER,CO,80216,DENVER
AmerisourceBergen Drug,RA0291168,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,20 HOOK MOUNTAIN RD,STE 102,PO BOX 644,PINE BROOK,NJ,7058,MORRIS
AmerisourceBergen Drug,RA0291170,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,1085 N. SATELLITE BLVD,,SUWANEE,GA,30024,GWINNETT
"Actavis Pharma, Inc.",RA0297033,MANUFACTURER,"ACTAVIS LABORATORIES FL, INC.",,2945 WEST CORPORATE LAKE BLVD,SUITE B,WESTON,FL,33331,BROWARD
Abbott Laboratories,RA0300626,DISTRIBUTOR,ABBOTT LABORATORIES,,"ATTN: DC D-209, AP 5",ROUTES 43 & 137,ABBOTT PARK,IL,60064,LAKE
Atlantic Biologicals,RA0301565,DISTRIBUTOR,ATLANTIC BIOLOGICALS,DBA ATLANTIC BIOLOGICALS/NATIONAL APOTHECARY SOLUTIONS,20101 NE 16TH PLACE,,MIAMI,FL,33179,MIAMI-DADE
"Actavis Pharma, Inc.",RA0306490,MANUFACTURER,ACTAVIS TOTOWA LLC,,4 TAFT ROAD,,TOTOWA,NJ,7512,PASSAIC
Almedica Services Corporation,RA0308002,MANUFACTURER,ALMEDICA SERVICES CORPORATION,,75 COMMERCE DRIVE,,ALLENDALE,NJ,7401,BERGEN
Altea Therapeutics Corporation,RA0310336,MANUFACTURER,ALTEA THERAPEUTICS CORPORATON,POC: HEATHER BRANAM,387 TECHNOLOGY CIRCLE NW,SUITE 100,ATLANTA,GA,30313,FULTON
AmerisourceBergen Drug,RA0310603,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,1325 WEST STRIKER AVE,,SACRAMENTO,CA,95834,SACRAMENTO
Anoka,RA0313039,DISTRIBUTOR,ANOKA,,1101 LUND BLVD.,,ANOKA,MN,55303,ANOKA
American Health Service Sales,RA0313902,DISTRIBUTOR,AMERICAN HEALTH SERVICE SALES,AMERICAN HEALTH SERVICE SALES CO DBA MED-VET INT.,DBA MED-VET INTERNATIONAL,13822 W BOULTON BLVD,METTAWA,IL,60045,LAKE
Altea Therapeutics Corporation,RA0314168,MANUFACTURER,ALTEA THERAPEUTICS CORPORATIO,,2038 WEEMS ROAD,,TUCKER,GA,30084,DEKALB
AmerisourceBergen Drug,RA0314562,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,6305 LASALLE DR,,LOCKBOURNE,OH,43137,FRANKLIN
Alcan Packaging Pharmaceutical,RA0316415,MANUFACTURER,ALCAN PACKAGING PHARMACEUTICAL,,& PERSONAL CARE INC-BETHLEHEM,2400 BAGLYOS CIRCLE,BETHLEHEM,PA,18020,NORTHAMPTON
AmerisourceBergen Drug,RA0316958,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORPORATION,,501 PATRIOT PARKWAY,,ROANOKE,TX,76262,DENTON
Alexander Infusion LLC,RA0319435,DISTRIBUTOR,ALEXANDER INFUSION LLC,D/B/A AVANTI HEALTH CARE SERVICES,75 NASSAU TERMINAL ROAD,,NEW HYDE PARK,NY,11040,NASSAU
"Actavis Pharma, Inc.",RA0321062,MANUFACTURER,ACTAVIS SOUTHATLANTIC LLC,,13800 NW 2ND STREET,SUITE 190,SUNRISE,FL,33325,BROWARD
AmerisourceBergen Drug,RA0322824,DISTRIBUTOR,AMERISOURCEBERGEN DRUG,,1001 WEST TAYLOR ROAD,,ROMEOVILLE,IL,60446,WILL
AmerisourceBergen Drug,RA0326276,DISTRIBUTOR,AMERISOURCEBERGEN DRUG,,11200 NORTH CONGRESS AVENUE,,KANSAS CITY,MO,64153,PLATTE
"Akorn, Inc.",RA0327785,MANUFACTURER,"AKORN, INC.",,1222 W. GRAND AVENUE,,DECATUR,IL,62522,MACON
"Akorn, Inc.",RA0327886,MANUFACTURER,"AKORN,  INC",,150 S WYCKLES RD,,DECATUR,IL,62522,MACON
Avella of Houston,RA0329777,MANUFACTURER,AVELLA OF HOUSTON,"ADVANCED PHARMA, INC",9265 KIRBY DRIVE,,HOUSTON,TX,77054,HARRIS
Catalent CTS,RA0330516,MANUFACTURER,"CATALENT CTS, INC.",,10245 HICKMAN MILLS DRIVE,,KANSAS CITY,MO,64137,JACKSON
"Apex Pharmaceuticals, Inc.",RA0332267,DISTRIBUTOR,"APEX PHARMACEUTICALS, INC.",,28298 CONSTELLATION ROAD,,VALENCIA,CA,91355,LOS ANGELES
Catalent CTS,RA0332825,MANUFACTURER,"CATALENT CTS, INC",,12000 COMMERCE PARKWAY,,MT. LAUREL,NJ,8054,BURLINGTON
Catalent CTS,RA0332837,DISTRIBUTOR,"CATALENT CTS, INC",,8000 COMMERCE PARKWAY,,MT. LAUREL,NJ,8054,BURLINGTON
Catalent CTS,RA0334691,MANUFACTURER,"CATALENT CTS, LLC",,75 COMMERCE DRIVE,,ALLENDALE,NJ,7401,BERGEN
AmerisourceBergen Drug,RA0336924,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP.,,5100 JAINDL BLVD.,,BETHLEHEM,PA,18017,NORTHAMPTON
Fisher Clinical Services Inc,RA0338423,DISTRIBUTOR,"FISHER CLINICAL SERVICES, INC.",,406 CROSSINGS DRIVE,,BRISTOL,PA,19007,BUCKS
Fisher Clinical Services Inc,RA0338435,MANUFACTURER,"FISHER CLINICAL SERVICES, INC.",,406 CROSSINGS DRIVE,,BRISTOL,PA,19007,BUCKS
"Ameridose, LLC",RA0344577,MANUFACTURER,"AMERIDOSE, LLC",,201 FLANDERS ROAD,,WESTBOROUGH,MA,1581,WORCESTER
Akyma Pharmaceuticals LLC,RA0345391,DISTRIBUTOR,AKYMA PHARMACEUTICALS LLC,,8407 AUSTIN TRACY ROAD,,FOUNTAIN RUN,KY,42133,MONROE
"American Medical Link, Inc.",RA0345822,DISTRIBUTOR,"AMERICAN MEDICAL LINK, INC.",,400A APGAR DRIVE,,SOMERSET,NJ,8873,SOMERSET
Alpharma Pharmaceuticals LLC,RA0349591,MANUFACTURER,ALPHARMA PHARMACEUTICALS LLC,,ONE NEW ENGLAND AVENUE,,PISCATAWAY,NJ,8854,MIDDLESEX
"Actavis Pharma, Inc.",RA0352663,MANUFACTURER,"ACTAVIS LABORATORIES FL, INC.",,13900 NW 2ND STREET,,SUNRISE,FL,33325,BROWARD
Aidarex Pharmaceuticals LLC,RA0358285,DISTRIBUTOR,AIDAREX PHARMACEUTICALS LLC,,595 N. SMITH AVE,UNIT B,CORONA,CA,92880,RIVERSIDE
Aidarex Pharmaceuticals LLC,RA0358297,MANUFACTURER,AIDAREX PHARMACEUTICALS LLC,DALE GARLOW,595 N SMITH AVE,UNIT B,CORONA,CA,92880,RIVERSIDE
Aidarex Pharmaceuticals LLC,RA0358297,MANUFACTURER,AIDAREX PHARMACEUTICALS LLC,ALICIA GONZALEZ/VP OF OPERATIONS,595 N SMITH AVE,UNIT B,CORONA,CA,92880,RIVERSIDE
Amneal Pharmaceuticals LLC,RA0362727,DISTRIBUTOR,AMNEAL PHARMACEUTICALS LLC,,118 BEAVER TRAIL,,GLASGOW,KY,42141,BARREN
Apace KY LLC,RA0363058,MANUFACTURER,APACE KY  LLC,DBA APACE PACKAGING LLC,12954 FOUNTAIN RUN RD,PO BOX 190,FOUNTAIN RUN,KY,42133,MONROE
AmerisourceBergen Drug,RA0363301,DISTRIBUTOR,AMERISOURCEBERGEN DRUG CORP,,120 TRANS AIR DRIVE,,MORRISVILLE,NC,27560,WAKE
Amatheon Inc,RA0367551,DISTRIBUTOR,AMATHEON INC,PHARMACEUTICAL DISTRIBUTOR,4300 SW 73RD AVENUE,SUITE 110,MIAMI,FL,33155,MIAMI-DADE
ABQ Health Partners Pharmacy,RA0367892,DISTRIBUTOR,ABQ HEALTH PARTNERS PHARMACY,GARY GIJSBERS,5400 GIBSON BLVD SE 2ND FLOOR,,ALBUQUERQUE,NM,87108,BERNALILLO
Amneal Pharmaceuticals LLC,RA0370661,DISTRIBUTOR,"AMNEAL PHARMACEUTICALS OF NEW YORK, LLC",,75 ADAMS AVE,,HAUPPAUGE,NY,11788,SUFFOLK
Amneal Pharmaceuticals LLC,RA0370700,MANUFACTURER,"AMNEAL PHARMACEUTICALS OF NEW YORK, LLC",,75 ADAMS AVE,,HAUPPAUGE,NY,11788,SUFFOLK
Amneal Pharmaceuticals LLC,RA0370700,MANUFACTURER,"AMNEAL PHARMACEUTICALS OF NEW YORK, LLC","AMNEAL PHARMACEUTICALS OF NEW YORK, LLC",75 ADAMS AVE,,HAUPPAUGE,NY,11788,SUFFOLK
Amneal Pharmaceuticals LLC,RA0370712,MANUFACTURER,"AMNEAL PHARMACEUTICALS OF NEW YORK, LLC",,50 HORSEBLOCK ROAD,,BROOKHAVEN,NY,11719,SUFFOLK
Aurolife Pharma LLC,RA0372110,MANUFACTURER,AUROLIFE PHARMA LLC,,2400 ROUTE 130 NORTH,,DAYTON,NJ,8810,MIDDLESEX
ANIP Acquisition Company,RA0372778,MANUFACTURER,ANIP ACQUISITION COMPANY,"ANI PHARMACEUTICALS, INC.",210 MAIN STREET WEST,PO BOX 370,BAUDETTE,MN,56623,LAKE OF THE WOODS
Alltech Associates Inc,RA0373706,MANUF (BULK),ALLTECH ASSOCIATES INC,,2051 WAUKEGAN ROAD,,DEERFIELD,IL,60015,LAKE
Amneal Pharmaceuticals LLC,RA0374188,MANUFACTURER,AMNEAL PHARMACEUTICALS,,131 CHAMBERS BROOK ROAD,,BRANCHBURG,NJ,8876,SOMERSET
"Ameridose, LLC",RA0378960,MANUFACTURER,"AMERIDOSE, LLC",,205 FLANDERS ROAD,,WESTBOROUGH,MA,1581,WORCESTER
Avella Wholesale,RA0379239,DISTRIBUTOR,AVELLA WHOLESALE,,23620 N 20TH DR #10,,PHOENIX,AZ,85085,MARICOPA
A-S Medication Solutions LLC,RA0380511,MANUFACTURER,A-S MEDICATION SOLUTIONS LLC,,2401 COMMERCE DR,,LIBERTYVILLE,IL,60048,LAKE
"Achieva Group Returns, Inc.",RA0384901,REVERSE DISTRIB,"ACHIEVA GROUP RETURNS, INC.",SCOTT DORSTEN,"431 OHIO PIKE, SUITE 311",,CINCINNATI,OH,45255,HAMILTON
"Achieva Group Returns, Inc.",RA0384901,REVERSE DISTRIB,"ACHIEVA GROUP RETURNS, INC.",SCOTT DORSTEN,8074-C BEECHMONT AVE. SUITE 21,"BUILDING C, SUITE 21",CINCINNATI,OH,45255,HAMILTON
Alcami Carolinas Corporation,RA0387109,MANUFACTURER,ALCAMI CAROLINAS CORPORATION,MANUFACTURING CENTER CHARLESTON,4221 FABER PLACE DR.,ATTN: DEA COMPLIANCE OFFICE,CHARLESTON,SC,29405,CHARLESTON
"Aidapak Services, LLC",RA0389343,MANUFACTURER,"AIDAPAK SERVICES, LLC",,14301 SE FIRST STREET,,VANCOUVER,WA,98684,CLARK
Alcami Carolinas Corporation,RA0389999,MANUFACTURER,ALCAMI CAROLINAS CORPORATION,,ATTN: DEA COMPLIANCE OFFICE,1726 NORTH 23RD STREET,WILMINGTON,NC,28405,NEW HANOVER
Alcami Carolinas Corporation,RA0390156,MANUFACTURER,ALCAMI CAROLINAS CORPORATION,,ATTN: DEA COMPLIANCE OFFICE,"1519 NORTH 23RD STREET, SUITE 500 & 600",WILMINGTON,NC,28405,NEW HANOVER
AAIPharma,RA0390613,MANUFACTURER,AAIPHARMA SERVICES CORP.,FORMULATIONS DEVELOPMENT LABORATORY,ATTN: DEA COMPLIANCE OFFICE,1206 NORTH 23RD STREET,WILMINGTON,NC,28405,NEW HANOVER
Allied Medical Supply Inc.,RA0391095,DISTRIBUTOR,ALLIED MEDICAL SUPPLY INC.,,901 OLD MARS HILL HWY,SUITE 5,WEAVERVILLE,NC,28787,BUNCOMBE
AAIPharma,RA0391677,DISTRIBUTOR,AAIPHARMA SERVICES CORP.,PACKAGING SERVICES WILMINGTON,ATTN: DEA COMPLIANCE OFFICE,1519 NORTH 23RD STREET,WILMINGTON,NC,28405,NEW HANOVER
"Alaunus Pharmaceutical, LLC",RA0393392,MANUFACTURER,"ALAUNUS PHARMACEUTICAL, LLC",,687 WAVERLY STREET,,FRAMINGHAM,MA,1702,MIDDLESEX
"Anda, Inc",RA0394748,DISTRIBUTOR,"ANDA PUERTO RICO, INC.",PEPSI INDUSTRIAL  PARK,PR#2 KM 19.5,BO. CANDELARIA,TOA BAJA,PR,949,TOA BAJA
"Actavis Pharma, Inc.",RA0395675,MANUFACTURER,ACTAVIS MID ATLANTIC LLC,,10065 RED RUN BOULEVARD,,OWINGS MILLS,MD,21117,BALTIMORE
AvKARE,RA0397908,DISTRIBUTOR,AVKARE,,615 NORTH FIRST STREET,,PULASKI,TN,38478,GILES
Advanced Infusion Solutions,RA0402228,MANUFACTURER,ADVANCED INFUSION SOLUTIONS,,132 FAIRMONT STREET,SUITE B,CLINTON,MS,39056,HINDS
AnazaoHealth Corporation,RA0402709,MANUFACTURER,ANAZAOHEALTH CORPORATION,,5710 HOOVER BLVD,,TAMPA,FL,33634,HILLSBOROUGH
Alliance Contract Pharma,RA0403078,MANUFACTURER,ALLIANCE CONTRACT PHARMA,,1510 DELP DRIVE,,HARLEYSVILLE,PA,19438,MONTGOMERY
"Attain Med, Inc.",RA0407925,DISTRIBUTOR,"ATTAIN MED, INC.",CORPORATE HEADQUARTERS,5825 GLENRIDGE DRIVE NE,"BUILDING 4, SUITE 106",ATLANTA,GA,30328,FULTON
Amri,RA0408270,MANUFACTURER,AMRI,,99 S. BEDFORD STREET,,BURLINGTON,MA,1803,MIDDLESEX
Alvogen Inc,RA0409296,MANUFACTURER,ALVOGEN INC,,10 BLOOMFIELD AVE,"BUILDING B, SUITE 2",PINE BROOK,NJ,7058,MORRIS
Auburn Pharmaceutical,RA0411328,DISTRIBUTOR,AUBURN PHARMACEUTICAL COMPANY,"DANIEL HACKLEY, WAREHOUSE MANAGER",1979 SOUTH 4130 WEST,,SALT LAKE CITY,UT,84104,SALT LAKE
,RA0411330,MANUF (BULK),AGILENT TECHNOLOGIES,,25200 COMMERCENTRE DRIVE,,LAKE FOREST,CA,92630,ORANGE
Ambulatory Medical Associates PLLC,RA0416809,DISTRIBUTOR,AMBULATORY MEDICAL ASSOCIATES PLLC,,3509 E. SHEA BLVD.,SUITE 103,PHOENIX,AZ,85028,MARICOPA
"Actavis Pharma, Inc.",RA0419540,DISTRIBUTOR,ACTAVIS LLC.,,47 BRUNSWICK AVENUE,,EDISON,NJ,8817,MIDDLESEX
"Actavis Pharma, Inc.",RA0419552,MANUFACTURER,ACTAVIS LLC.,,47 BRUNSWICK AVENE,,EDISON,NJ,8817,MIDDLESEX
Alkermes Gainesville LLC,RA0421901,MANUFACTURER,ALKERMES GAINESVILLE LLC,,1300 GOULD DRIVE,,GAINESVILLE,GA,30504,HALL
Omega 2000 Inc,RA0423599,REVERSE DISTRIB,ADVANCED RX RETURNS,D/B/A OMEGA 2000 RX RETURNS,926 NEWARK AVENUE,5TH FLOOR,JERSEY CITY,NJ,7306,HUDSON
"Akorn, Inc.",RA0425834,DISTRIBUTOR,"AKORN, INC.",,150 SOUTH WYCKLES ROAD,,DECATUR,IL,62522,MACON
Aphena Pharma Solutions,RA0426583,MANUFACTURER,"APHENA PHARMA SOLUTIONS, NJ INC",,125 ALGONQUIN PARKWAY,,WHIPPANY,NJ,7981,MORRIS
Animal Health International Inc,RA0427511,DISTRIBUTOR,"ANIMAL HEALTH INTERNATIONAL, INC.",,1817 COLONIAL VILLAGE LANE,,LANCASTER,PA,17601,LANCASTER
Animal Health International Inc,RA0427597,DISTRIBUTOR,ANIMAL HEALTH INTERNATIONAL INC,,7100 W RENO AVENUE,,OKLAHOMA,OK,73127,OKLAHOMA
Animal Health International Inc,RA0428121,DISTRIBUTOR,"ANIMAL HEALTH INTERNATIONAL, INC.",,3610 LOHMAN FORD RD.,,LAGO VISTA,TX,78645,TRAVIS
Animal Health International Inc,RA0429173,DISTRIBUTOR,"ANIMAL HEALTH INTERNATIONAL, INC.",,392 15TH ST NE,,SIOUX CENTER,IA,51250,SIOUX
Associated Pharmacies Inc,RA0429375,DISTRIBUTOR,"ASSOCIATED PHARMACIES, INC.",D/B/A APIRX,5375 MINERAL WELLS ROAD,,MEMPHIS,TN,38141,SHELBY
Animal Health International Inc,RA0429503,DISTRIBUTOR,"ANIMAL HEALTH INTERNATIONAL, INC.",,3785 DISTRIPLEX DRIVE NORTH,,MEMPHIS,TN,38118,SHELBY
ARK Business Services Inc,RA0430203,REVERSE DISTRIB,ARK BUSINESS SERVICES INC,ARK RX RETURNS SOLUTIONS,2417 3RD AVE,STE 812,BRONX,NY,10451,BRONX
Abbvie US LLC,RA0430746,DISTRIBUTOR,ABBVIE US LLC,,1 N WAUKEGAN ROAD,"ATTN: GS02, AP5",NORTH CHICAGO,IL,60064,LAKE
Animal Health International Inc,RA0431875,DISTRIBUTOR,"ANIMAL HEALTH INTERNATIONAL, INC.",,385 SW 60TH AVE.,,OCALA,FL,34474,MARION
Albertsons LLC,RA0432815,DISTRIBUTOR,ALBERTSONS LLC DISTRIBUTION CENTER #8720,,2500 INDUSTRIAL BLVD,,PONCA CITY,OK,74601,KAY
Amneal Pharmaceuticals LLC,RA0434237,MANUFACTURER,"AMNEAL PHARMACEUTICALS, LLC",,1 NEW ENGLAND AVENUE,,PISCATAWAY,NJ,8854,MIDDLESEX
Abbvie US LLC,RA0440646,DISTRIBUTOR,ABBVIE US LLC,,1401 N. SHERIDAN ROAD,"10TH STREET ENTRANCE, ATTN D-807",NORTH CHICAGO,IL,60064,LAKE
ARx Returns Inc,RA0440836,REVERSE DISTRIB,ARX RETURNS INC,,18833 SAKERA RD,,HUDSON,FL,34667,PASCO
"Aurobindo Pharma USA, Inc.",RA0441484,DISTRIBUTOR,"AUROBINDO PHARMA USA, INC.",DPICCIANO@AUROBINDOUSA.COM,6 WHEELING RD,,DAYTON,NJ,8810,MIDDLESEX
